Pollution Level (Air Quality Index values),city,country,population
12.5,Rouen,France,532559.0
11.6,Cottbus,Germany,105067.0
0,Tegucigalpa,Honduras,946000.0
13.7,Kuantan,Malaysia,366229.0
11.4,Lyon,France,1423000.0
11.1,Amiens,France,143086.0
0,Foggia,Italy,155203.0
11.7,Mulhouse,France,215454.0
12.6,Passau,Germany,50560.0
13.7,Matsuyama,Japan,533541.0
14.1,Kluang,Malaysia,169828.0
0,Las Palmas de Gran Canaria,Spain,378495.0
0,Nakhon Si Thammarat,Thailand,232335.0
10.8,Arica,Chile,185999.0
10.3,Huasco,Chile,2558.0
0,Lecce,Italy,162582.0
18.3,Miri,Malaysia,228212.0
12.2,Blenheim,New Zealand,30300.0
0,Brighton,United Kingdom,503008.0
23,Armidale,Australia,22673.0
13.6,La Serena,Chile,154521.0
12.9,Düsseldorf,Germany,1220000.0
0,Zaragoza,Spain,649404.0
12.1,Toledo,Spain,74632.0
11.3,Lugano,Switzerland,105388.0
0,Trat,Thailand,21590.0
11.8,Dortmund,Germany,588462.0
12.9,Kure,Japan,196991.0
10.1,Maastricht,Netherlands,122378.0
0,Hasselt,Belgium,69222.0
11.2,Dieppe,France,42461.0
11.3,Innsbruck,Austria,155214.0
21.8,Varna,Bulgaria,312770.0
11.1,Tours,France,236096.0
12.9,Rome,Italy,3339000.0
0,Beyneu,Kazakhstan,32452.0
0,Richmond,New Zealand,0.0
0,Milton Keynes,United Kingdom,0.0
15.9,Luanda,Angola,5172900.0
14.1,Brussels,Belgium,1743000.0
10.1,Hamilton,Canada,721053.0
12.5,Masterton,New Zealand,20200.0
10.5,Vigo,Spain,378952.0
0,Prince Albert,Canada,34609.0
14,Strasbourg,France,439972.0
13.6,Melun,France,249432.0
9.7,Le Havre,France,242124.0
11.5,Potsdam,Germany,218095.0
0,Münster,Germany,270184.0
10.8,Magdeburg,Germany,229826.0
11.4,Taranto,Italy,202033.0
14.4,Kumamoto,Japan,718232.0
11.2,Takaoka,Japan,174806.0
11.2,Takaoka,Japan,170077.0
11.2,Reims,France,196565.0
